"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.344596679522368,0.0379455331827074,0.81170498573524,1,1998,"GB","spring"
"2",2,0.293826857036241,0.079653222504083,0.77851496067847,2,1999,"GB","spring"
"3",3,0.448547143826527,0.051969468728553,0.79941533387604,3,2000,"GB","spring"
"4",4,0.399508928230432,0.0477128363699426,0.77936777067715,4,2001,"GB","spring"
"5",5,0.422175204194411,0.0513788315037468,0.79099663173006,5,2002,"GB","spring"
"6",6,0.492551575527525,0.048845970141655,0.81926107795063,6,2003,"GB","spring"
"7",7,0.310758340019804,0.115992447396678,0.8296832962554,7,2004,"GB","spring"
"8",8,0.996190026515274,0.0573741455541647,0.81396684055768,8,2005,"GB","spring"
"9",9,0.293795876031324,0.0266280479522245,0.85252244634327,9,2006,"GB","spring"
"10",10,0.713169446922574,0.078517621848642,0.82834091139766,10,2007,"GB","spring"
"11",11,0.580347810577461,0.0684040666418979,0.79169049141151,11,2008,"GB","spring"
"12",12,0.408317993575181,0.0778279411958857,0.80345420004806,12,2009,"GB","spring"
"13",13,0.474242072078727,0.0736775562351291,0.79821408121861,13,2010,"GB","spring"
"14",14,0.575427481818166,0.104204367193745,0.73738207304291,14,2011,"GB","spring"
"15",15,0.610668716907667,0.0436967783308973,0.82307816652886,15,2012,"GB","spring"
"16",16,0.713518297198273,0.0598228524883695,0.79838137181064,16,2013,"GB","spring"
"17",17,1.10534981638236,0.109932282398885,0.81974253367609,17,2014,"GB","spring"
"18",18,0.431501416932,0.0561269649820983,0.79961106317662,18,2015,"GB","spring"
"19",19,0.594043901589236,0.0582838354796511,0.77794918603098,19,2016,"GB","spring"
"20",20,0.521811331744541,0.0575875906882144,0.82762532314084,20,2017,"GB","spring"
"21",21,1.20476974931424,0.081240950470486,0.79485744520992,21,2018,"GB","spring"
"22",22,0.705262453833231,0.0404901334755257,0.77294423567731,22,2019,"GB","spring"
